"","site_id","pfts","start_date","end_date","sensitivity.analysis","ensemble_size","notes","model_id","inputs","workflow_list_mods","submit","workflow_id","status","stage","success_status","model_name","site_name","met"
"1","756","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Southern Pine (Subcategory), Duke Forest Pine ","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013984"", status = ""Submitted successfully"")","99000013984","list(workflow_id = ""99000013984"", status = c(""TRAIT  2022-07-01 06:39:57  2022-07-01 06:39:58  DONE  "", ""META  2022-07-01 06:39:58  2022-07-01 06:39:58  DONE  "", ""CONFIG  2022-07-01 06:39:58  2022-07-01 06:39:59  DONE  "", ""MODEL  2022-07-01 06:39:59  2022-07-01 06:40:09  DONE  "", ""OUTPUT  2022-07-01 06:40:09  2022-07-01 06:40:09  DONE  "", ""ENSEMBLE  2022-07-01 06:40:09  2022-07-01 06:40:09  DONE  "", ""FINISHED  2022-07-01 06:40:09  2022-07-01 06:40:09  DONE  ""))","FINISHED  2022-07-01 06:40:09  2022-07-01 06:40:09  DONE  ","TRUE","SIPNET","Duke Forest - loblolly pine (US-Dk3)","CRUNCEP"
"2","506","boreal.coniferous","2004-01-01","2004-12-31","FALSE","1","Boreal Pine (Subcategory), BOREAS NSA - (CA-Man)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013985"", status = ""Submitted successfully"")","99000013985","list(workflow_id = ""99000013985"", status = c(""TRAIT  2022-07-01 06:40:14  2022-07-01 06:40:15  DONE  "", ""META  2022-07-01 06:40:15  2022-07-01 06:40:15  DONE  "", ""CONFIG  2022-07-01 06:40:15  2022-07-01 06:40:16  DONE  "", ""MODEL  2022-07-01 06:40:16  2022-07-01 06:40:26  DONE  "", ""OUTPUT  2022-07-01 06:40:26  2022-07-01 06:40:26  DONE  "", ""ENSEMBLE  2022-07-01 06:40:26  2022-07-01 06:40:26  DONE  "", ""FINISHED  2022-07-01 06:40:26  2022-07-01 06:40:26  DONE  ""))","FINISHED  2022-07-01 06:40:26  2022-07-01 06:40:26  DONE  ","TRUE","SIPNET","BOREAS NSA - (CA-Man)","CRUNCEP"
"3","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Intermountain (Subcategory), Niwot Ridge Forest/LTER NWT1 (US-NR1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013986"", status = ""Submitted successfully"")","99000013986","list(workflow_id = ""99000013986"", status = c(""TRAIT  2022-07-01 06:40:30  2022-07-01 06:40:31  DONE  "", ""META  2022-07-01 06:40:31  2022-07-01 06:40:31  DONE  "", ""CONFIG  2022-07-01 06:40:31  2022-07-01 06:40:32  DONE  "", ""MODEL  2022-07-01 06:40:32  2022-07-01 06:40:42  DONE  "", ""OUTPUT  2022-07-01 06:40:42  2022-07-01 06:40:42  DONE  "", ""ENSEMBLE  2022-07-01 06:40:42  2022-07-01 06:40:42  DONE  "", ""FINISHED  2022-07-01 06:40:42  2022-07-01 06:40:42  DONE  ""))","FINISHED  2022-07-01 06:40:42  2022-07-01 06:40:42  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","CRUNCEP"
"4","1000005005","tropics_BCI","2004-01-01","2004-12-31","FALSE","1","Evergreen broadleaf forest, Barro Colorado Island","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013987"", status = ""Submitted successfully"")","99000013987","list(workflow_id = ""99000013987"", status = c(""TRAIT  2022-07-01 06:40:47  2022-07-01 06:40:48  DONE  "", ""META  2022-07-01 06:40:48  2022-07-01 06:40:48  DONE  "", ""CONFIG  2022-07-01 06:40:48  2022-07-01 06:40:49  DONE  "", ""MODEL  2022-07-01 06:40:49  2022-07-01 06:40:59  DONE  "", ""OUTPUT  2022-07-01 06:40:59  2022-07-01 06:40:59  DONE  "", ""ENSEMBLE  2022-07-01 06:40:59  2022-07-01 06:40:59  DONE  "", ""FINISHED  2022-07-01 06:40:59  2022-07-01 06:40:59  DONE  ""))","FINISHED  2022-07-01 06:40:59  2022-07-01 06:40:59  DONE  ","TRUE","SIPNET","Barro Colorado Island","CRUNCEP"
"5","1000000370","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous needleleaf forest ,  Yakutsk-Larch RU-Ylr","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013988"", status = ""Submitted successfully"")","99000013988","list(workflow_id = ""99000013988"", status = c(""TRAIT  2022-07-01 06:41:05  2022-07-01 06:41:06  DONE  "", ""META  2022-07-01 06:41:06  2022-07-01 06:41:06  DONE  "", ""CONFIG  2022-07-01 06:41:06  2022-07-01 06:41:07  DONE  "", ""MODEL  2022-07-01 06:41:07  2022-07-01 06:41:17  DONE  "", ""OUTPUT  2022-07-01 06:41:17  2022-07-01 06:41:17  DONE  "", ""ENSEMBLE  2022-07-01 06:41:17  2022-07-01 06:41:17  DONE  "", ""FINISHED  2022-07-01 06:41:17  2022-07-01 06:41:17  DONE  ""))","FINISHED  2022-07-01 06:41:17  2022-07-01 06:41:17  DONE  ","TRUE","SIPNET","Yakutsk-Larch (RU-Ylr)","CRUNCEP"
"6","758","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous broadleaf forest , Harvard Forest EMS Tower/HFR1 (US-Ha1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013989"", status = ""Submitted successfully"")","99000013989","list(workflow_id = ""99000013989"", status = c(""TRAIT  2022-07-01 06:41:21  2022-07-01 06:41:22  DONE  "", ""META  2022-07-01 06:41:22  2022-07-01 06:41:22  DONE  "", ""CONFIG  2022-07-01 06:41:22  2022-07-01 06:41:23  DONE  "", ""MODEL  2022-07-01 06:41:23  2022-07-01 06:41:33  DONE  "", ""OUTPUT  2022-07-01 06:41:33  2022-07-01 06:41:33  DONE  "", ""ENSEMBLE  2022-07-01 06:41:33  2022-07-01 06:41:34  DONE  "", ""FINISHED  2022-07-01 06:41:34  2022-07-01 06:41:34  DONE  ""))","FINISHED  2022-07-01 06:41:34  2022-07-01 06:41:34  DONE  ","TRUE","SIPNET","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"7","774","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Closed Shrublands, Sky Oaks- Old Stand (US-SO2)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013990"", status = ""Submitted successfully"")","99000013990","list(workflow_id = ""99000013990"", status = c(""TRAIT  2022-07-01 06:41:38  2022-07-01 06:41:39  DONE  "", ""META  2022-07-01 06:41:39  2022-07-01 06:41:39  DONE  "", ""CONFIG  2022-07-01 06:41:39  2022-07-01 06:41:40  DONE  "", ""MODEL  2022-07-01 06:41:40  2022-07-01 06:41:50  DONE  "", ""OUTPUT  2022-07-01 06:41:50  2022-07-01 06:41:50  DONE  "", ""ENSEMBLE  2022-07-01 06:41:50  2022-07-01 06:41:51  DONE  "", ""FINISHED  2022-07-01 06:41:51  2022-07-01 06:41:51  DONE  ""))","FINISHED  2022-07-01 06:41:51  2022-07-01 06:41:51  DONE  ","TRUE","SIPNET","Sky Oaks- Old Stand (US-SO2)","CRUNCEP"
"8","1000000095","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Open Shrublands, Sevilleta Shrubland (US-Ses)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013991"", status = ""Submitted successfully"")","99000013991","list(workflow_id = ""99000013991"", status = c(""TRAIT  2022-07-01 06:41:56  2022-07-01 06:41:57  DONE  "", ""META  2022-07-01 06:41:57  2022-07-01 06:41:57  DONE  "", ""CONFIG  2022-07-01 06:41:57  2022-07-01 06:41:57  DONE  "", ""MODEL  2022-07-01 06:41:57  2022-07-01 06:42:08  DONE  "", ""OUTPUT  2022-07-01 06:42:08  2022-07-01 06:42:08  DONE  "", ""ENSEMBLE  2022-07-01 06:42:08  2022-07-01 06:42:08  DONE  "", ""FINISHED  2022-07-01 06:42:08  2022-07-01 06:42:08  DONE  ""))","FINISHED  2022-07-01 06:42:08  2022-07-01 06:42:08  DONE  ","TRUE","SIPNET","Sevilleta (LTER desert shrubland) (US-Ses)","CRUNCEP"
"9","775","temperate.oakpinebarrens","2004-01-01","2004-12-31","FALSE","1","Woody Savanas, Tonzi Ranch","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013992"", status = ""Submitted successfully"")","99000013992","list(workflow_id = ""99000013992"", status = c(""TRAIT  2022-07-01 06:42:12  2022-07-01 06:42:13  DONE  "", ""META  2022-07-01 06:42:13  2022-07-01 06:42:13  DONE  "", ""CONFIG  2022-07-01 06:42:13  2022-07-01 06:42:14  DONE  "", ""MODEL  2022-07-01 06:42:14  2022-07-01 06:42:24  DONE  "", ""OUTPUT  2022-07-01 06:42:24  2022-07-01 06:42:24  DONE  "", ""ENSEMBLE  2022-07-01 06:42:24  2022-07-01 06:42:24  DONE  "", ""FINISHED  2022-07-01 06:42:24  2022-07-01 06:42:25  DONE  ""))","FINISHED  2022-07-01 06:42:24  2022-07-01 06:42:25  DONE  ","TRUE","SIPNET","Tonzi Ranch (US-Ton)","CRUNCEP"
"10","1000005158","semiarid.grassland-kendall","2004-01-01","2004-12-31","FALSE","1","Grasslands, Walnut Gulch Kendall Grasslands (US-Wkg)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013993"", status = ""Submitted successfully"")","99000013993","list(workflow_id = ""99000013993"", status = c(""TRAIT  2022-07-01 06:42:30  2022-07-01 06:42:30  DONE  "", ""META  2022-07-01 06:42:30  2022-07-01 06:42:31  DONE  "", ""CONFIG  2022-07-01 06:42:31  2022-07-01 06:42:31  DONE  "", ""MODEL  2022-07-01 06:42:31  2022-07-01 06:42:41  DONE  "", ""OUTPUT  2022-07-01 06:42:41  2022-07-01 06:42:41  DONE  "", ""ENSEMBLE  2022-07-01 06:42:41  2022-07-01 06:42:42  DONE  "", ""FINISHED  2022-07-01 06:42:42  2022-07-01 06:42:42  DONE  ""))","FINISHED  2022-07-01 06:42:42  2022-07-01 06:42:42  DONE  ","TRUE","SIPNET","Walnut Gulch Kendall Grasslands (US-Wkg)","CRUNCEP"
