"","site_id","pfts","start_date","end_date","sensitivity.analysis","ensemble_size","notes","model_id","inputs","workflow_list_mods","submit","workflow_id","status","stage","success_status","model_name","site_name","met"
"1","756","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Southern Pine (Subcategory), Duke Forest Pine ","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013039"", status = ""Submitted successfully"")","99000013039","list(workflow_id = ""99000013039"", status = c(""TRAIT  2022-06-13 06:37:28  2022-06-13 06:37:29  DONE  "", ""META  2022-06-13 06:37:29  2022-06-13 06:37:29  DONE  "", ""CONFIG  2022-06-13 06:37:29  2022-06-13 06:37:30  DONE  "", ""MODEL  2022-06-13 06:37:30  2022-06-13 06:37:40  DONE  "", ""OUTPUT  2022-06-13 06:37:40  2022-06-13 06:37:40  DONE  "", ""ENSEMBLE  2022-06-13 06:37:40  2022-06-13 06:37:41  DONE  "", ""FINISHED  2022-06-13 06:37:41  2022-06-13 06:37:41  DONE  ""))","FINISHED  2022-06-13 06:37:41  2022-06-13 06:37:41  DONE  ","TRUE","SIPNET","Duke Forest - loblolly pine (US-Dk3)","CRUNCEP"
"2","506","boreal.coniferous","2004-01-01","2004-12-31","FALSE","1","Boreal Pine (Subcategory), BOREAS NSA - (CA-Man)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013040"", status = ""Submitted successfully"")","99000013040","list(workflow_id = ""99000013040"", status = c(""TRAIT  2022-06-13 06:37:46  2022-06-13 06:37:47  DONE  "", ""META  2022-06-13 06:37:47  2022-06-13 06:37:47  DONE  "", ""CONFIG  2022-06-13 06:37:47  2022-06-13 06:37:48  DONE  "", ""MODEL  2022-06-13 06:37:48  2022-06-13 06:37:58  DONE  "", ""OUTPUT  2022-06-13 06:37:58  2022-06-13 06:37:58  DONE  "", ""ENSEMBLE  2022-06-13 06:37:58  2022-06-13 06:37:58  DONE  "", ""FINISHED  2022-06-13 06:37:58  2022-06-13 06:37:58  DONE  ""))","FINISHED  2022-06-13 06:37:58  2022-06-13 06:37:58  DONE  ","TRUE","SIPNET","BOREAS NSA - (CA-Man)","CRUNCEP"
"3","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Intermountain (Subcategory), Niwot Ridge Forest/LTER NWT1 (US-NR1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013041"", status = ""Submitted successfully"")","99000013041","list(workflow_id = ""99000013041"", status = c(""TRAIT  2022-06-13 06:38:03  2022-06-13 06:38:04  DONE  "", ""META  2022-06-13 06:38:04  2022-06-13 06:38:04  DONE  "", ""CONFIG  2022-06-13 06:38:04  2022-06-13 06:38:05  DONE  "", ""MODEL  2022-06-13 06:38:05  2022-06-13 06:38:15  DONE  "", ""OUTPUT  2022-06-13 06:38:15  2022-06-13 06:38:15  DONE  "", ""ENSEMBLE  2022-06-13 06:38:15  2022-06-13 06:38:15  DONE  "", ""FINISHED  2022-06-13 06:38:15  2022-06-13 06:38:15  DONE  ""))","FINISHED  2022-06-13 06:38:15  2022-06-13 06:38:15  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","CRUNCEP"
"4","1000005005","tropics_BCI","2004-01-01","2004-12-31","FALSE","1","Evergreen broadleaf forest, Barro Colorado Island","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013042"", status = ""Submitted successfully"")","99000013042","list(workflow_id = ""99000013042"", status = c(""TRAIT  2022-06-13 06:38:20  2022-06-13 06:38:21  DONE  "", ""META  2022-06-13 06:38:21  2022-06-13 06:38:21  DONE  "", ""CONFIG  2022-06-13 06:38:21  2022-06-13 06:38:22  DONE  "", ""MODEL  2022-06-13 06:38:22  2022-06-13 06:38:32  DONE  "", ""OUTPUT  2022-06-13 06:38:32  2022-06-13 06:38:32  DONE  "", ""ENSEMBLE  2022-06-13 06:38:32  2022-06-13 06:38:32  DONE  "", ""FINISHED  2022-06-13 06:38:32  2022-06-13 06:38:32  DONE  ""))","FINISHED  2022-06-13 06:38:32  2022-06-13 06:38:32  DONE  ","TRUE","SIPNET","Barro Colorado Island","CRUNCEP"
"5","1000000370","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous needleleaf forest ,  Yakutsk-Larch RU-Ylr","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013043"", status = ""Submitted successfully"")","99000013043","list(workflow_id = ""99000013043"", status = c(""TRAIT  2022-06-13 06:38:37  2022-06-13 06:38:38  DONE  "", ""META  2022-06-13 06:38:38  2022-06-13 06:38:38  DONE  "", ""CONFIG  2022-06-13 06:38:38  2022-06-13 06:38:39  DONE  "", ""MODEL  2022-06-13 06:38:39  2022-06-13 06:38:49  DONE  "", ""OUTPUT  2022-06-13 06:38:49  2022-06-13 06:38:49  DONE  "", ""ENSEMBLE  2022-06-13 06:38:49  2022-06-13 06:38:50  DONE  "", ""FINISHED  2022-06-13 06:38:50  2022-06-13 06:38:50  DONE  ""))","FINISHED  2022-06-13 06:38:50  2022-06-13 06:38:50  DONE  ","TRUE","SIPNET","Yakutsk-Larch (RU-Ylr)","CRUNCEP"
"6","758","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous broadleaf forest , Harvard Forest EMS Tower/HFR1 (US-Ha1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013044"", status = ""Submitted successfully"")","99000013044","list(workflow_id = ""99000013044"", status = c(""TRAIT  2022-06-13 06:38:54  2022-06-13 06:38:55  DONE  "", ""META  2022-06-13 06:38:55  2022-06-13 06:38:55  DONE  "", ""CONFIG  2022-06-13 06:38:55  2022-06-13 06:38:56  DONE  "", ""MODEL  2022-06-13 06:38:56  2022-06-13 06:39:06  DONE  "", ""OUTPUT  2022-06-13 06:39:06  2022-06-13 06:39:06  DONE  "", ""ENSEMBLE  2022-06-13 06:39:06  2022-06-13 06:39:06  DONE  "", ""FINISHED  2022-06-13 06:39:06  2022-06-13 06:39:06  DONE  ""))","FINISHED  2022-06-13 06:39:06  2022-06-13 06:39:06  DONE  ","TRUE","SIPNET","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"7","774","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Closed Shrublands, Sky Oaks- Old Stand (US-SO2)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013045"", status = ""Submitted successfully"")","99000013045","list(workflow_id = ""99000013045"", status = c(""TRAIT  2022-06-13 06:39:11  2022-06-13 06:39:12  DONE  "", ""META  2022-06-13 06:39:12  2022-06-13 06:39:12  DONE  "", ""CONFIG  2022-06-13 06:39:12  2022-06-13 06:39:13  DONE  "", ""MODEL  2022-06-13 06:39:13  2022-06-13 06:39:23  DONE  "", ""OUTPUT  2022-06-13 06:39:23  2022-06-13 06:39:23  DONE  "", ""ENSEMBLE  2022-06-13 06:39:23  2022-06-13 06:39:23  DONE  "", ""FINISHED  2022-06-13 06:39:23  2022-06-13 06:39:23  DONE  ""))","FINISHED  2022-06-13 06:39:23  2022-06-13 06:39:23  DONE  ","TRUE","SIPNET","Sky Oaks- Old Stand (US-SO2)","CRUNCEP"
"8","1000000095","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Open Shrublands, Sevilleta Shrubland (US-Ses)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013046"", status = ""Submitted successfully"")","99000013046","list(workflow_id = ""99000013046"", status = c(""TRAIT  2022-06-13 06:39:28  2022-06-13 06:39:29  DONE  "", ""META  2022-06-13 06:39:29  2022-06-13 06:39:29  DONE  "", ""CONFIG  2022-06-13 06:39:29  2022-06-13 06:39:30  DONE  "", ""MODEL  2022-06-13 06:39:30  2022-06-13 06:39:40  DONE  "", ""OUTPUT  2022-06-13 06:39:40  2022-06-13 06:39:40  DONE  "", ""ENSEMBLE  2022-06-13 06:39:40  2022-06-13 06:39:41  DONE  "", ""FINISHED  2022-06-13 06:39:41  2022-06-13 06:39:41  DONE  ""))","FINISHED  2022-06-13 06:39:41  2022-06-13 06:39:41  DONE  ","TRUE","SIPNET","Sevilleta (LTER desert shrubland) (US-Ses)","CRUNCEP"
"9","775","temperate.oakpinebarrens","2004-01-01","2004-12-31","FALSE","1","Woody Savanas, Tonzi Ranch","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013047"", status = ""Submitted successfully"")","99000013047","list(workflow_id = ""99000013047"", status = c(""TRAIT  2022-06-13 06:39:45  2022-06-13 06:39:46  DONE  "", ""META  2022-06-13 06:39:46  2022-06-13 06:39:46  DONE  "", ""CONFIG  2022-06-13 06:39:46  2022-06-13 06:39:46  DONE  "", ""MODEL  2022-06-13 06:39:46  2022-06-13 06:39:57  DONE  "", ""OUTPUT  2022-06-13 06:39:57  2022-06-13 06:39:57  DONE  "", ""ENSEMBLE  2022-06-13 06:39:57  2022-06-13 06:39:57  DONE  "", ""FINISHED  2022-06-13 06:39:57  2022-06-13 06:39:57  DONE  ""))","FINISHED  2022-06-13 06:39:57  2022-06-13 06:39:57  DONE  ","TRUE","SIPNET","Tonzi Ranch (US-Ton)","CRUNCEP"
"10","1000005158","semiarid.grassland-kendall","2004-01-01","2004-12-31","FALSE","1","Grasslands, Walnut Gulch Kendall Grasslands (US-Wkg)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000013048"", status = ""Submitted successfully"")","99000013048","list(workflow_id = ""99000013048"", status = c(""TRAIT  2022-06-13 06:40:02  2022-06-13 06:40:03  DONE  "", ""META  2022-06-13 06:40:03  2022-06-13 06:40:03  DONE  "", ""CONFIG  2022-06-13 06:40:03  2022-06-13 06:40:04  DONE  "", ""MODEL  2022-06-13 06:40:04  2022-06-13 06:40:14  DONE  "", ""OUTPUT  2022-06-13 06:40:14  2022-06-13 06:40:14  DONE  "", ""ENSEMBLE  2022-06-13 06:40:14  2022-06-13 06:40:14  DONE  "", ""FINISHED  2022-06-13 06:40:14  2022-06-13 06:40:14  DONE  ""))","FINISHED  2022-06-13 06:40:14  2022-06-13 06:40:14  DONE  ","TRUE","SIPNET","Walnut Gulch Kendall Grasslands (US-Wkg)","CRUNCEP"
