"","site_id","pfts","start_date","end_date","sensitivity.analysis","ensemble_size","notes","model_id","inputs","workflow_list_mods","submit","workflow_id","status","stage","success_status","model_name","site_name","met"
"1","756","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Southern Pine (Subcategory), Duke Forest Pine ","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002566"", status = ""Submitted successfully"")","99000002566","list(workflow_id = ""99000002566"", status = c(""TRAIT  2021-11-27 06:52:28  2021-11-27 06:52:29  DONE  "", ""META  2021-11-27 06:52:29  2021-11-27 06:52:29  DONE  "", ""CONFIG  2021-11-27 06:52:29  2021-11-27 06:52:29  DONE  "", ""MODEL  2021-11-27 06:52:29  2021-11-27 06:52:40  DONE  "", ""OUTPUT  2021-11-27 06:52:40  2021-11-27 06:52:40  DONE  "", ""ENSEMBLE  2021-11-27 06:52:40  2021-11-27 06:52:40  DONE  "", ""FINISHED  2021-11-27 06:52:40  2021-11-27 06:52:40  DONE  ""))","FINISHED  2021-11-27 06:52:40  2021-11-27 06:52:40  DONE  ","TRUE","SIPNET","Duke Forest - loblolly pine (US-Dk3)","CRUNCEP"
"2","506","boreal.coniferous","2004-01-01","2004-12-31","FALSE","1","Boreal Pine (Subcategory), BOREAS NSA - (CA-Man)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002567"", status = ""Submitted successfully"")","99000002567","list(workflow_id = ""99000002567"", status = c(""TRAIT  2021-11-27 06:52:45  2021-11-27 06:52:46  DONE  "", ""META  2021-11-27 06:52:46  2021-11-27 06:52:46  DONE  "", ""CONFIG  2021-11-27 06:52:46  2021-11-27 06:52:46  DONE  "", ""MODEL  2021-11-27 06:52:46  2021-11-27 06:52:56  DONE  "", ""OUTPUT  2021-11-27 06:52:56  2021-11-27 06:52:57  DONE  "", ""ENSEMBLE  2021-11-27 06:52:57  2021-11-27 06:52:57  DONE  "", ""FINISHED  2021-11-27 06:52:57  2021-11-27 06:52:57  DONE  ""))","FINISHED  2021-11-27 06:52:57  2021-11-27 06:52:57  DONE  ","TRUE","SIPNET","BOREAS NSA - (CA-Man)","CRUNCEP"
"3","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Intermountain (Subcategory), Niwot Ridge Forest/LTER NWT1 (US-NR1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002568"", status = ""Submitted successfully"")","99000002568","list(workflow_id = ""99000002568"", status = c(""TRAIT  2021-11-27 06:53:02  2021-11-27 06:53:03  DONE  "", ""META  2021-11-27 06:53:03  2021-11-27 06:53:03  DONE  "", ""CONFIG  2021-11-27 06:53:03  2021-11-27 06:53:03  DONE  "", ""MODEL  2021-11-27 06:53:03  2021-11-27 06:53:14  DONE  "", ""OUTPUT  2021-11-27 06:53:14  2021-11-27 06:53:14  DONE  "", ""ENSEMBLE  2021-11-27 06:53:14  2021-11-27 06:53:14  DONE  "", ""FINISHED  2021-11-27 06:53:14  2021-11-27 06:53:14  DONE  ""))","FINISHED  2021-11-27 06:53:14  2021-11-27 06:53:14  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","CRUNCEP"
"4","1000005005","tropics_BCI","2004-01-01","2004-12-31","FALSE","1","Evergreen broadleaf forest, Barro Colorado Island","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002569"", status = ""Submitted successfully"")","99000002569","list(workflow_id = ""99000002569"", status = c(""TRAIT  2021-11-27 06:53:19  2021-11-27 06:53:20  DONE  "", ""META  2021-11-27 06:53:20  2021-11-27 06:53:20  DONE  "", ""CONFIG  2021-11-27 06:53:20  2021-11-27 06:53:21  DONE  "", ""MODEL  2021-11-27 06:53:21  2021-11-27 06:53:31  DONE  "", ""OUTPUT  2021-11-27 06:53:31  2021-11-27 06:53:31  DONE  "", ""ENSEMBLE  2021-11-27 06:53:31  2021-11-27 06:53:31  DONE  "", ""FINISHED  2021-11-27 06:53:31  2021-11-27 06:53:31  DONE  ""))","FINISHED  2021-11-27 06:53:31  2021-11-27 06:53:31  DONE  ","TRUE","SIPNET","Barro Colorado Island","CRUNCEP"
"5","1000000370","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous needleleaf forest ,  Yakutsk-Larch RU-Ylr","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002570"", status = ""Submitted successfully"")","99000002570","list(workflow_id = ""99000002570"", status = c(""TRAIT  2021-11-27 06:53:36  2021-11-27 06:53:37  DONE  "", ""META  2021-11-27 06:53:37  2021-11-27 06:53:37  DONE  "", ""CONFIG  2021-11-27 06:53:37  2021-11-27 06:53:38  DONE  "", ""MODEL  2021-11-27 06:53:38  2021-11-27 06:53:48  DONE  "", ""OUTPUT  2021-11-27 06:53:48  2021-11-27 06:53:48  DONE  "", ""ENSEMBLE  2021-11-27 06:53:48  2021-11-27 06:53:49  DONE  "", ""FINISHED  2021-11-27 06:53:49  2021-11-27 06:53:49  DONE  ""))","FINISHED  2021-11-27 06:53:49  2021-11-27 06:53:49  DONE  ","TRUE","SIPNET","Yakutsk-Larch (RU-Ylr)","CRUNCEP"
"6","758","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous broadleaf forest , Harvard Forest EMS Tower/HFR1 (US-Ha1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002571"", status = ""Submitted successfully"")","99000002571","list(workflow_id = ""99000002571"", status = c(""TRAIT  2021-11-27 06:53:53  2021-11-27 06:53:54  DONE  "", ""META  2021-11-27 06:53:54  2021-11-27 06:53:54  DONE  "", ""CONFIG  2021-11-27 06:53:54  2021-11-27 06:53:55  DONE  "", ""MODEL  2021-11-27 06:53:55  2021-11-27 06:54:05  DONE  "", ""OUTPUT  2021-11-27 06:54:05  2021-11-27 06:54:05  DONE  "", ""ENSEMBLE  2021-11-27 06:54:05  2021-11-27 06:54:05  DONE  "", ""FINISHED  2021-11-27 06:54:05  2021-11-27 06:54:05  DONE  ""))","FINISHED  2021-11-27 06:54:05  2021-11-27 06:54:05  DONE  ","TRUE","SIPNET","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"7","774","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Closed Shrublands, Sky Oaks- Old Stand (US-SO2)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002572"", status = ""Submitted successfully"")","99000002572","list(workflow_id = ""99000002572"", status = c(""TRAIT  2021-11-27 06:54:10  2021-11-27 06:54:11  DONE  "", ""META  2021-11-27 06:54:11  2021-11-27 06:54:11  DONE  "", ""CONFIG  2021-11-27 06:54:11  2021-11-27 06:54:12  DONE  "", ""MODEL  2021-11-27 06:54:12  2021-11-27 06:54:22  DONE  "", ""OUTPUT  2021-11-27 06:54:22  2021-11-27 06:54:22  DONE  "", ""ENSEMBLE  2021-11-27 06:54:22  2021-11-27 06:54:22  DONE  "", ""FINISHED  2021-11-27 06:54:22  2021-11-27 06:54:22  DONE  ""))","FINISHED  2021-11-27 06:54:22  2021-11-27 06:54:22  DONE  ","TRUE","SIPNET","Sky Oaks- Old Stand (US-SO2)","CRUNCEP"
"8","1000000095","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Open Shrublands, Sevilleta Shrubland (US-Ses)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002573"", status = ""Submitted successfully"")","99000002573","list(workflow_id = ""99000002573"", status = c(""TRAIT  2021-11-27 06:54:27  2021-11-27 06:54:28  DONE  "", ""META  2021-11-27 06:54:28  2021-11-27 06:54:28  DONE  "", ""CONFIG  2021-11-27 06:54:28  2021-11-27 06:54:29  DONE  "", ""MODEL  2021-11-27 06:54:29  2021-11-27 06:54:39  DONE  "", ""OUTPUT  2021-11-27 06:54:39  2021-11-27 06:54:39  DONE  "", ""ENSEMBLE  2021-11-27 06:54:39  2021-11-27 06:54:40  DONE  "", ""FINISHED  2021-11-27 06:54:40  2021-11-27 06:54:40  DONE  ""))","FINISHED  2021-11-27 06:54:40  2021-11-27 06:54:40  DONE  ","TRUE","SIPNET","Sevilleta (LTER desert shrubland) (US-Ses)","CRUNCEP"
"9","775","temperate.oakpinebarrens","2004-01-01","2004-12-31","FALSE","1","Woody Savanas, Tonzi Ranch","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002574"", status = ""Submitted successfully"")","99000002574","list(workflow_id = ""99000002574"", status = c(""TRAIT  2021-11-27 06:54:44  2021-11-27 06:54:45  DONE  "", ""META  2021-11-27 06:54:45  2021-11-27 06:54:45  DONE  "", ""CONFIG  2021-11-27 06:54:45  2021-11-27 06:54:46  DONE  "", ""MODEL  2021-11-27 06:54:46  2021-11-27 06:54:56  DONE  "", ""OUTPUT  2021-11-27 06:54:56  2021-11-27 06:54:56  DONE  "", ""ENSEMBLE  2021-11-27 06:54:56  2021-11-27 06:54:56  DONE  "", ""FINISHED  2021-11-27 06:54:56  2021-11-27 06:54:56  DONE  ""))","FINISHED  2021-11-27 06:54:56  2021-11-27 06:54:56  DONE  ","TRUE","SIPNET","Tonzi Ranch (US-Ton)","CRUNCEP"
"10","1000005158","semiarid.grassland-kendall","2004-01-01","2004-12-31","FALSE","1","Grasslands, Walnut Gulch Kendall Grasslands (US-Wkg)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000002575"", status = ""Submitted successfully"")","99000002575","list(workflow_id = ""99000002575"", status = c(""TRAIT  2021-11-27 06:55:01  2021-11-27 06:55:02  DONE  "", ""META  2021-11-27 06:55:02  2021-11-27 06:55:02  DONE  "", ""CONFIG  2021-11-27 06:55:02  2021-11-27 06:55:03  DONE  "", ""MODEL  2021-11-27 06:55:03  2021-11-27 06:55:13  DONE  "", ""OUTPUT  2021-11-27 06:55:13  2021-11-27 06:55:13  DONE  "", ""ENSEMBLE  2021-11-27 06:55:13  2021-11-27 06:55:14  DONE  "", ""FINISHED  2021-11-27 06:55:14  2021-11-27 06:55:14  DONE  ""))","FINISHED  2021-11-27 06:55:14  2021-11-27 06:55:14  DONE  ","TRUE","SIPNET","Walnut Gulch Kendall Grasslands (US-Wkg)","CRUNCEP"
