"","site_id","pfts","start_date","end_date","sensitivity.analysis","ensemble_size","notes","model_id","inputs","workflow_list_mods","submit","workflow_id","status","stage","success_status","model_name","site_name","met"
"1","756","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Southern Pine (Subcategory), Duke Forest Pine ","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000005159"", status = ""Submitted successfully"")","99000005159","list(workflow_id = ""99000005159"", status = c(""TRAIT  2021-08-22 06:52:22  2021-08-22 06:52:23  DONE  "", ""META  2021-08-22 06:52:23  2021-08-22 06:52:23  DONE  "", ""CONFIG  2021-08-22 06:52:23  2021-08-22 06:52:23  DONE  "", ""MODEL  2021-08-22 06:52:23  2021-08-22 06:52:33  DONE  "", ""OUTPUT  2021-08-22 06:52:33  2021-08-22 06:52:34  DONE  "", ""ENSEMBLE  2021-08-22 06:52:34  2021-08-22 06:52:34  DONE  "", ""FINISHED  2021-08-22 06:52:34  2021-08-22 06:52:34  DONE  ""))","FINISHED  2021-08-22 06:52:34  2021-08-22 06:52:34  DONE  ","TRUE","SIPNET","Duke Forest - loblolly pine (US-Dk3)","CRUNCEP"
"2","506","boreal.coniferous","2004-01-01","2004-12-31","FALSE","1","Boreal Pine (Subcategory), BOREAS NSA - (CA-Man)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000005160"", status = ""Submitted successfully"")","99000005160","list(workflow_id = ""99000005160"", status = c(""TRAIT  2021-08-22 06:52:38  2021-08-22 06:52:39  DONE  "", ""META  2021-08-22 06:52:39  2021-08-22 06:52:39  DONE  "", ""CONFIG  2021-08-22 06:52:39  2021-08-22 06:52:39  DONE  "", ""MODEL  2021-08-22 06:52:39  2021-08-22 06:52:50  DONE  "", ""OUTPUT  2021-08-22 06:52:50  2021-08-22 06:52:50  DONE  "", ""ENSEMBLE  2021-08-22 06:52:50  2021-08-22 06:52:50  DONE  "", ""FINISHED  2021-08-22 06:52:50  2021-08-22 06:52:50  DONE  ""))","FINISHED  2021-08-22 06:52:50  2021-08-22 06:52:50  DONE  ","TRUE","SIPNET","BOREAS NSA - (CA-Man)","CRUNCEP"
"3","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Intermountain (Subcategory), Niwot Ridge Forest/LTER NWT1 (US-NR1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000005161"", status = ""Submitted successfully"")","99000005161","list(workflow_id = ""99000005161"", status = c(""TRAIT  2021-08-22 06:52:54  2021-08-22 06:52:55  DONE  "", ""META  2021-08-22 06:52:55  2021-08-22 06:52:55  DONE  "", ""CONFIG  2021-08-22 06:52:55  2021-08-22 06:52:56  DONE  "", ""MODEL  2021-08-22 06:52:56  2021-08-22 06:53:06  DONE  "", ""OUTPUT  2021-08-22 06:53:06  2021-08-22 06:53:06  DONE  "", ""ENSEMBLE  2021-08-22 06:53:06  2021-08-22 06:53:06  DONE  "", ""FINISHED  2021-08-22 06:53:06  2021-08-22 06:53:06  DONE  ""))","FINISHED  2021-08-22 06:53:06  2021-08-22 06:53:06  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","CRUNCEP"
"4","1000005005","tropics_BCI","2004-01-01","2004-12-31","FALSE","1","Evergreen broadleaf forest, Barro Colorado Island","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000005162"", status = ""Submitted successfully"")","99000005162","list(workflow_id = ""99000005162"", status = c(""TRAIT  2021-08-22 06:53:11  2021-08-22 06:53:12  DONE  "", ""META  2021-08-22 06:53:12  2021-08-22 06:53:12  DONE  "", ""CONFIG  2021-08-22 06:53:12  2021-08-22 06:53:12  DONE  "", ""MODEL  2021-08-22 06:53:12  2021-08-22 06:53:22  DONE  "", ""OUTPUT  2021-08-22 06:53:22  2021-08-22 06:53:22  DONE  "", ""ENSEMBLE  2021-08-22 06:53:22  2021-08-22 06:53:22  DONE  "", ""FINISHED  2021-08-22 06:53:22  2021-08-22 06:53:22  DONE  ""))","FINISHED  2021-08-22 06:53:22  2021-08-22 06:53:22  DONE  ","TRUE","SIPNET","Barro Colorado Island","CRUNCEP"
"5","1000000370","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous needleleaf forest ,  Yakutsk-Larch RU-Ylr","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000005163"", status = ""Submitted successfully"")","99000005163","list(workflow_id = ""99000005163"", status = c(""TRAIT  2021-08-22 06:53:27  2021-08-22 06:53:28  DONE  "", ""META  2021-08-22 06:53:28  2021-08-22 06:53:28  DONE  "", ""CONFIG  2021-08-22 06:53:28  2021-08-22 06:53:28  DONE  "", ""MODEL  2021-08-22 06:53:28  2021-08-22 06:53:38  DONE  "", ""OUTPUT  2021-08-22 06:53:38  2021-08-22 06:53:39  DONE  "", ""ENSEMBLE  2021-08-22 06:53:39  2021-08-22 06:53:39  DONE  "", ""FINISHED  2021-08-22 06:53:39  2021-08-22 06:53:39  DONE  ""))","FINISHED  2021-08-22 06:53:39  2021-08-22 06:53:39  DONE  ","TRUE","SIPNET","Yakutsk-Larch (RU-Ylr)","CRUNCEP"
"6","758","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous broadleaf forest , Harvard Forest EMS Tower/HFR1 (US-Ha1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000005164"", status = ""Submitted successfully"")","99000005164","list(workflow_id = ""99000005164"", status = c(""TRAIT  2021-08-22 06:53:43  2021-08-22 06:53:44  DONE  "", ""META  2021-08-22 06:53:44  2021-08-22 06:53:44  DONE  "", ""CONFIG  2021-08-22 06:53:44  2021-08-22 06:53:45  DONE  "", ""MODEL  2021-08-22 06:53:45  2021-08-22 06:53:55  DONE  "", ""OUTPUT  2021-08-22 06:53:55  2021-08-22 06:53:55  DONE  "", ""ENSEMBLE  2021-08-22 06:53:55  2021-08-22 06:53:55  DONE  "", ""FINISHED  2021-08-22 06:53:55  2021-08-22 06:53:55  DONE  ""))","FINISHED  2021-08-22 06:53:55  2021-08-22 06:53:55  DONE  ","TRUE","SIPNET","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"7","774","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Closed Shrublands, Sky Oaks- Old Stand (US-SO2)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000005165"", status = ""Submitted successfully"")","99000005165","list(workflow_id = ""99000005165"", status = c(""TRAIT  2021-08-22 06:53:59  2021-08-22 06:54:00  DONE  "", ""META  2021-08-22 06:54:00  2021-08-22 06:54:00  DONE  "", ""CONFIG  2021-08-22 06:54:00  2021-08-22 06:54:01  DONE  "", ""MODEL  2021-08-22 06:54:01  2021-08-22 06:54:11  DONE  "", ""OUTPUT  2021-08-22 06:54:11  2021-08-22 06:54:11  DONE  "", ""ENSEMBLE  2021-08-22 06:54:11  2021-08-22 06:54:11  DONE  "", ""FINISHED  2021-08-22 06:54:11  2021-08-22 06:54:11  DONE  ""))","FINISHED  2021-08-22 06:54:11  2021-08-22 06:54:11  DONE  ","TRUE","SIPNET","Sky Oaks- Old Stand (US-SO2)","CRUNCEP"
"8","1000000095","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Open Shrublands, Sevilleta Shrubland (US-Ses)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000005166"", status = ""Submitted successfully"")","99000005166","list(workflow_id = ""99000005166"", status = c(""TRAIT  2021-08-22 06:54:16  2021-08-22 06:54:17  DONE  "", ""META  2021-08-22 06:54:17  2021-08-22 06:54:17  DONE  "", ""CONFIG  2021-08-22 06:54:17  2021-08-22 06:54:17  DONE  "", ""MODEL  2021-08-22 06:54:17  2021-08-22 06:54:28  DONE  "", ""OUTPUT  2021-08-22 06:54:28  2021-08-22 06:54:28  DONE  "", ""ENSEMBLE  2021-08-22 06:54:28  2021-08-22 06:54:28  DONE  "", ""FINISHED  2021-08-22 06:54:28  2021-08-22 06:54:28  DONE  ""))","FINISHED  2021-08-22 06:54:28  2021-08-22 06:54:28  DONE  ","TRUE","SIPNET","Sevilleta (LTER desert shrubland) (US-Ses)","CRUNCEP"
"9","775","temperate.oakpinebarrens","2004-01-01","2004-12-31","FALSE","1","Woody Savanas, Tonzi Ranch","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000005167"", status = ""Submitted successfully"")","99000005167","list(workflow_id = ""99000005167"", status = c(""TRAIT  2021-08-22 06:54:32  2021-08-22 06:54:33  DONE  "", ""META  2021-08-22 06:54:33  2021-08-22 06:54:33  DONE  "", ""CONFIG  2021-08-22 06:54:33  2021-08-22 06:54:34  DONE  "", ""MODEL  2021-08-22 06:54:34  2021-08-22 06:54:44  DONE  "", ""OUTPUT  2021-08-22 06:54:44  2021-08-22 06:54:44  DONE  "", ""ENSEMBLE  2021-08-22 06:54:44  2021-08-22 06:54:44  DONE  "", ""FINISHED  2021-08-22 06:54:44  2021-08-22 06:54:44  DONE  ""))","FINISHED  2021-08-22 06:54:44  2021-08-22 06:54:44  DONE  ","TRUE","SIPNET","Tonzi Ranch (US-Ton)","CRUNCEP"
"10","1000005158","semiarid.grassland-kendall","2004-01-01","2004-12-31","FALSE","1","Grasslands, Walnut Gulch Kendall Grasslands (US-Wkg)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000005168"", status = ""Submitted successfully"")","99000005168","list(workflow_id = ""99000005168"", status = c(""TRAIT  2021-08-22 06:54:49  2021-08-22 06:54:49  DONE  "", ""META  2021-08-22 06:54:49  2021-08-22 06:54:49  DONE  "", ""CONFIG  2021-08-22 06:54:49  2021-08-22 06:54:50  DONE  "", ""MODEL  2021-08-22 06:54:50  2021-08-22 06:55:00  DONE  "", ""OUTPUT  2021-08-22 06:55:00  2021-08-22 06:55:00  DONE  "", ""ENSEMBLE  2021-08-22 06:55:00  2021-08-22 06:55:01  DONE  "", ""FINISHED  2021-08-22 06:55:01  2021-08-22 06:55:01  DONE  ""))","FINISHED  2021-08-22 06:55:01  2021-08-22 06:55:01  DONE  ","TRUE","SIPNET","Walnut Gulch Kendall Grasslands (US-Wkg)","CRUNCEP"
