"","site_id","pfts","start_date","end_date","sensitivity.analysis","ensemble_size","notes","model_id","inputs","workflow_list_mods","submit","workflow_id","status","stage","success_status","model_name","site_name","met"
"1","756","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Southern Pine (Subcategory), Duke Forest Pine ","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000007293"", status = ""Submitted successfully"")","99000007293","list(workflow_id = ""99000007293"", status = c(""TRAIT  2022-02-24 06:56:01  2022-02-24 06:56:01  DONE  "", ""META  2022-02-24 06:56:01  2022-02-24 06:56:01  DONE  "", ""CONFIG  2022-02-24 06:56:01  2022-02-24 06:56:02  DONE  "", ""MODEL  2022-02-24 06:56:02  2022-02-24 06:56:12  DONE  "", ""OUTPUT  2022-02-24 06:56:12  2022-02-24 06:56:12  DONE  "", ""ENSEMBLE  2022-02-24 06:56:12  2022-02-24 06:56:13  DONE  "", ""FINISHED  2022-02-24 06:56:13  2022-02-24 06:56:13  DONE  ""))","FINISHED  2022-02-24 06:56:13  2022-02-24 06:56:13  DONE  ","TRUE","SIPNET","Duke Forest - loblolly pine (US-Dk3)","CRUNCEP"
"2","506","boreal.coniferous","2004-01-01","2004-12-31","FALSE","1","Boreal Pine (Subcategory), BOREAS NSA - (CA-Man)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000007294"", status = ""Submitted successfully"")","99000007294","list(workflow_id = ""99000007294"", status = c(""TRAIT  2022-02-24 06:56:17  2022-02-24 06:56:17  DONE  "", ""META  2022-02-24 06:56:17  2022-02-24 06:56:17  DONE  "", ""CONFIG  2022-02-24 06:56:17  2022-02-24 06:56:18  DONE  "", ""MODEL  2022-02-24 06:56:18  2022-02-24 06:56:28  DONE  "", ""OUTPUT  2022-02-24 06:56:28  2022-02-24 06:56:28  DONE  "", ""ENSEMBLE  2022-02-24 06:56:28  2022-02-24 06:56:29  DONE  "", ""FINISHED  2022-02-24 06:56:29  2022-02-24 06:56:29  DONE  ""))","FINISHED  2022-02-24 06:56:29  2022-02-24 06:56:29  DONE  ","TRUE","SIPNET","BOREAS NSA - (CA-Man)","CRUNCEP"
"3","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Intermountain (Subcategory), Niwot Ridge Forest/LTER NWT1 (US-NR1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000007295"", status = ""Submitted successfully"")","99000007295","list(workflow_id = ""99000007295"", status = c(""TRAIT  2022-02-24 06:56:33  2022-02-24 06:56:34  DONE  "", ""META  2022-02-24 06:56:34  2022-02-24 06:56:34  DONE  "", ""CONFIG  2022-02-24 06:56:34  2022-02-24 06:56:34  DONE  "", ""MODEL  2022-02-24 06:56:34  2022-02-24 06:56:44  DONE  "", ""OUTPUT  2022-02-24 06:56:44  2022-02-24 06:56:44  DONE  "", ""ENSEMBLE  2022-02-24 06:56:44  2022-02-24 06:56:45  DONE  "", ""FINISHED  2022-02-24 06:56:45  2022-02-24 06:56:45  DONE  ""))","FINISHED  2022-02-24 06:56:45  2022-02-24 06:56:45  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","CRUNCEP"
"4","1000005005","tropics_BCI","2004-01-01","2004-12-31","FALSE","1","Evergreen broadleaf forest, Barro Colorado Island","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000007296"", status = ""Submitted successfully"")","99000007296","list(workflow_id = ""99000007296"", status = c(""TRAIT  2022-02-24 06:56:50  2022-02-24 06:56:51  DONE  "", ""META  2022-02-24 06:56:51  2022-02-24 06:56:51  DONE  "", ""CONFIG  2022-02-24 06:56:51  2022-02-24 06:56:52  DONE  "", ""MODEL  2022-02-24 06:56:52  2022-02-24 06:57:02  DONE  "", ""OUTPUT  2022-02-24 06:57:02  2022-02-24 06:57:02  DONE  "", ""ENSEMBLE  2022-02-24 06:57:02  2022-02-24 06:57:02  DONE  "", ""FINISHED  2022-02-24 06:57:02  2022-02-24 06:57:02  DONE  ""))","FINISHED  2022-02-24 06:57:02  2022-02-24 06:57:02  DONE  ","TRUE","SIPNET","Barro Colorado Island","CRUNCEP"
"5","1000000370","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous needleleaf forest ,  Yakutsk-Larch RU-Ylr","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000007297"", status = ""Submitted successfully"")","99000007297","list(workflow_id = ""99000007297"", status = c(""TRAIT  2022-02-24 06:57:07  2022-02-24 06:57:08  DONE  "", ""META  2022-02-24 06:57:08  2022-02-24 06:57:08  DONE  "", ""CONFIG  2022-02-24 06:57:08  2022-02-24 06:57:09  DONE  "", ""MODEL  2022-02-24 06:57:09  2022-02-24 06:57:19  DONE  "", ""OUTPUT  2022-02-24 06:57:19  2022-02-24 06:57:19  DONE  "", ""ENSEMBLE  2022-02-24 06:57:19  2022-02-24 06:57:19  DONE  "", ""FINISHED  2022-02-24 06:57:19  2022-02-24 06:57:19  DONE  ""))","FINISHED  2022-02-24 06:57:19  2022-02-24 06:57:19  DONE  ","TRUE","SIPNET","Yakutsk-Larch (RU-Ylr)","CRUNCEP"
"6","758","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous broadleaf forest , Harvard Forest EMS Tower/HFR1 (US-Ha1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000007298"", status = ""Submitted successfully"")","99000007298","list(workflow_id = ""99000007298"", status = c(""TRAIT  2022-02-24 06:57:24  2022-02-24 06:57:25  DONE  "", ""META  2022-02-24 06:57:25  2022-02-24 06:57:25  DONE  "", ""CONFIG  2022-02-24 06:57:25  2022-02-24 06:57:26  DONE  "", ""MODEL  2022-02-24 06:57:26  2022-02-24 06:57:36  DONE  "", ""OUTPUT  2022-02-24 06:57:36  2022-02-24 06:57:36  DONE  "", ""ENSEMBLE  2022-02-24 06:57:36  2022-02-24 06:57:36  DONE  "", ""FINISHED  2022-02-24 06:57:36  2022-02-24 06:57:36  DONE  ""))","FINISHED  2022-02-24 06:57:36  2022-02-24 06:57:36  DONE  ","TRUE","SIPNET","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"7","774","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Closed Shrublands, Sky Oaks- Old Stand (US-SO2)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000007299"", status = ""Submitted successfully"")","99000007299","list(workflow_id = ""99000007299"", status = c(""TRAIT  2022-02-24 06:57:41  2022-02-24 06:57:42  DONE  "", ""META  2022-02-24 06:57:42  2022-02-24 06:57:42  DONE  "", ""CONFIG  2022-02-24 06:57:42  2022-02-24 06:57:43  DONE  "", ""MODEL  2022-02-24 06:57:43  2022-02-24 06:57:53  DONE  "", ""OUTPUT  2022-02-24 06:57:53  2022-02-24 06:57:53  DONE  "", ""ENSEMBLE  2022-02-24 06:57:53  2022-02-24 06:57:53  DONE  "", ""FINISHED  2022-02-24 06:57:53  2022-02-24 06:57:53  DONE  ""))","FINISHED  2022-02-24 06:57:53  2022-02-24 06:57:53  DONE  ","TRUE","SIPNET","Sky Oaks- Old Stand (US-SO2)","CRUNCEP"
"8","1000000095","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Open Shrublands, Sevilleta Shrubland (US-Ses)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000007300"", status = ""Submitted successfully"")","99000007300","list(workflow_id = ""99000007300"", status = c(""TRAIT  2022-02-24 06:57:58  2022-02-24 06:57:59  DONE  "", ""META  2022-02-24 06:57:59  2022-02-24 06:57:59  DONE  "", ""CONFIG  2022-02-24 06:57:59  2022-02-24 06:58:00  DONE  "", ""MODEL  2022-02-24 06:58:00  2022-02-24 06:58:10  DONE  "", ""OUTPUT  2022-02-24 06:58:10  2022-02-24 06:58:10  DONE  "", ""ENSEMBLE  2022-02-24 06:58:10  2022-02-24 06:58:11  DONE  "", ""FINISHED  2022-02-24 06:58:11  2022-02-24 06:58:11  DONE  ""))","FINISHED  2022-02-24 06:58:11  2022-02-24 06:58:11  DONE  ","TRUE","SIPNET","Sevilleta (LTER desert shrubland) (US-Ses)","CRUNCEP"
"9","775","temperate.oakpinebarrens","2004-01-01","2004-12-31","FALSE","1","Woody Savanas, Tonzi Ranch","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000007301"", status = ""Submitted successfully"")","99000007301","list(workflow_id = ""99000007301"", status = c(""TRAIT  2022-02-24 06:58:15  2022-02-24 06:58:16  DONE  "", ""META  2022-02-24 06:58:16  2022-02-24 06:58:16  DONE  "", ""CONFIG  2022-02-24 06:58:16  2022-02-24 06:58:17  DONE  "", ""MODEL  2022-02-24 06:58:17  2022-02-24 06:58:27  DONE  "", ""OUTPUT  2022-02-24 06:58:27  2022-02-24 06:58:27  DONE  "", ""ENSEMBLE  2022-02-24 06:58:27  2022-02-24 06:58:27  DONE  "", ""FINISHED  2022-02-24 06:58:27  2022-02-24 06:58:27  DONE  ""))","FINISHED  2022-02-24 06:58:27  2022-02-24 06:58:27  DONE  ","TRUE","SIPNET","Tonzi Ranch (US-Ton)","CRUNCEP"
"10","1000005158","semiarid.grassland-kendall","2004-01-01","2004-12-31","FALSE","1","Grasslands, Walnut Gulch Kendall Grasslands (US-Wkg)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000007302"", status = ""Submitted successfully"")","99000007302","list(workflow_id = ""99000007302"", status = c(""TRAIT  2022-02-24 06:58:31  2022-02-24 06:58:32  DONE  "", ""META  2022-02-24 06:58:32  2022-02-24 06:58:32  DONE  "", ""CONFIG  2022-02-24 06:58:32  2022-02-24 06:58:33  DONE  "", ""MODEL  2022-02-24 06:58:33  2022-02-24 06:58:43  DONE  "", ""OUTPUT  2022-02-24 06:58:43  2022-02-24 06:58:43  DONE  "", ""ENSEMBLE  2022-02-24 06:58:43  2022-02-24 06:58:44  DONE  "", ""FINISHED  2022-02-24 06:58:44  2022-02-24 06:58:44  DONE  ""))","FINISHED  2022-02-24 06:58:44  2022-02-24 06:58:44  DONE  ","TRUE","SIPNET","Walnut Gulch Kendall Grasslands (US-Wkg)","CRUNCEP"
