"","site_id","pfts","start_date","end_date","sensitivity.analysis","ensemble_size","notes","model_id","inputs","workflow_list_mods","submit","workflow_id","status","stage","success_status","model_name","site_name","met"
"1","756","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Southern Pine (Subcategory), Duke Forest Pine ","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000012769"", status = ""Submitted successfully"")","99000012769","list(workflow_id = ""99000012769"", status = c(""TRAIT  2022-06-07 06:37:24  2022-06-07 06:37:25  DONE  "", ""META  2022-06-07 06:37:25  2022-06-07 06:37:25  DONE  "", ""CONFIG  2022-06-07 06:37:25  2022-06-07 06:37:26  DONE  "", ""MODEL  2022-06-07 06:37:26  2022-06-07 06:37:36  DONE  "", ""OUTPUT  2022-06-07 06:37:36  2022-06-07 06:37:36  DONE  "", ""ENSEMBLE  2022-06-07 06:37:36  2022-06-07 06:37:36  DONE  "", ""FINISHED  2022-06-07 06:37:36  2022-06-07 06:37:36  DONE  ""))","FINISHED  2022-06-07 06:37:36  2022-06-07 06:37:36  DONE  ","TRUE","SIPNET","Duke Forest - loblolly pine (US-Dk3)","CRUNCEP"
"2","506","boreal.coniferous","2004-01-01","2004-12-31","FALSE","1","Boreal Pine (Subcategory), BOREAS NSA - (CA-Man)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000012770"", status = ""Submitted successfully"")","99000012770","list(workflow_id = ""99000012770"", status = c(""TRAIT  2022-06-07 06:37:40  2022-06-07 06:37:41  DONE  "", ""META  2022-06-07 06:37:41  2022-06-07 06:37:41  DONE  "", ""CONFIG  2022-06-07 06:37:41  2022-06-07 06:37:42  DONE  "", ""MODEL  2022-06-07 06:37:42  2022-06-07 06:37:52  DONE  "", ""OUTPUT  2022-06-07 06:37:52  2022-06-07 06:37:52  DONE  "", ""ENSEMBLE  2022-06-07 06:37:52  2022-06-07 06:37:53  DONE  "", ""FINISHED  2022-06-07 06:37:53  2022-06-07 06:37:53  DONE  ""))","FINISHED  2022-06-07 06:37:53  2022-06-07 06:37:53  DONE  ","TRUE","SIPNET","BOREAS NSA - (CA-Man)","CRUNCEP"
"3","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Intermountain (Subcategory), Niwot Ridge Forest/LTER NWT1 (US-NR1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000012771"", status = ""Submitted successfully"")","99000012771","list(workflow_id = ""99000012771"", status = c(""TRAIT  2022-06-07 06:37:57  2022-06-07 06:37:58  DONE  "", ""META  2022-06-07 06:37:58  2022-06-07 06:37:58  DONE  "", ""CONFIG  2022-06-07 06:37:58  2022-06-07 06:37:59  DONE  "", ""MODEL  2022-06-07 06:37:59  2022-06-07 06:38:09  DONE  "", ""OUTPUT  2022-06-07 06:38:09  2022-06-07 06:38:09  DONE  "", ""ENSEMBLE  2022-06-07 06:38:09  2022-06-07 06:38:09  DONE  "", ""FINISHED  2022-06-07 06:38:09  2022-06-07 06:38:09  DONE  ""))","FINISHED  2022-06-07 06:38:09  2022-06-07 06:38:09  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","CRUNCEP"
"4","1000005005","tropics_BCI","2004-01-01","2004-12-31","FALSE","1","Evergreen broadleaf forest, Barro Colorado Island","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000012772"", status = ""Submitted successfully"")","99000012772","list(workflow_id = ""99000012772"", status = c(""TRAIT  2022-06-07 06:38:15  2022-06-07 06:38:15  DONE  "", ""META  2022-06-07 06:38:15  2022-06-07 06:38:15  DONE  "", ""CONFIG  2022-06-07 06:38:15  2022-06-07 06:38:16  DONE  "", ""MODEL  2022-06-07 06:38:16  2022-06-07 06:38:26  DONE  "", ""OUTPUT  2022-06-07 06:38:26  2022-06-07 06:38:26  DONE  "", ""ENSEMBLE  2022-06-07 06:38:26  2022-06-07 06:38:26  DONE  "", ""FINISHED  2022-06-07 06:38:26  2022-06-07 06:38:26  DONE  ""))","FINISHED  2022-06-07 06:38:26  2022-06-07 06:38:26  DONE  ","TRUE","SIPNET","Barro Colorado Island","CRUNCEP"
"5","1000000370","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous needleleaf forest ,  Yakutsk-Larch RU-Ylr","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000012773"", status = ""Submitted successfully"")","99000012773","list(workflow_id = ""99000012773"", status = c(""TRAIT  2022-06-07 06:38:31  2022-06-07 06:38:32  DONE  "", ""META  2022-06-07 06:38:32  2022-06-07 06:38:32  DONE  "", ""CONFIG  2022-06-07 06:38:32  2022-06-07 06:38:33  DONE  "", ""MODEL  2022-06-07 06:38:33  2022-06-07 06:38:43  DONE  "", ""OUTPUT  2022-06-07 06:38:43  2022-06-07 06:38:43  DONE  "", ""ENSEMBLE  2022-06-07 06:38:43  2022-06-07 06:38:43  DONE  "", ""FINISHED  2022-06-07 06:38:43  2022-06-07 06:38:43  DONE  ""))","FINISHED  2022-06-07 06:38:43  2022-06-07 06:38:43  DONE  ","TRUE","SIPNET","Yakutsk-Larch (RU-Ylr)","CRUNCEP"
"6","758","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous broadleaf forest , Harvard Forest EMS Tower/HFR1 (US-Ha1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000012774"", status = ""Submitted successfully"")","99000012774","list(workflow_id = ""99000012774"", status = c(""TRAIT  2022-06-07 06:38:47  2022-06-07 06:38:48  DONE  "", ""META  2022-06-07 06:38:48  2022-06-07 06:38:49  DONE  "", ""CONFIG  2022-06-07 06:38:49  2022-06-07 06:38:49  DONE  "", ""MODEL  2022-06-07 06:38:49  2022-06-07 06:38:59  DONE  "", ""OUTPUT  2022-06-07 06:38:59  2022-06-07 06:38:59  DONE  "", ""ENSEMBLE  2022-06-07 06:38:59  2022-06-07 06:39:00  DONE  "", ""FINISHED  2022-06-07 06:39:00  2022-06-07 06:39:00  DONE  ""))","FINISHED  2022-06-07 06:39:00  2022-06-07 06:39:00  DONE  ","TRUE","SIPNET","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"7","774","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Closed Shrublands, Sky Oaks- Old Stand (US-SO2)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000012775"", status = ""Submitted successfully"")","99000012775","list(workflow_id = ""99000012775"", status = c(""TRAIT  2022-06-07 06:39:04  2022-06-07 06:39:05  DONE  "", ""META  2022-06-07 06:39:05  2022-06-07 06:39:05  DONE  "", ""CONFIG  2022-06-07 06:39:05  2022-06-07 06:39:06  DONE  "", ""MODEL  2022-06-07 06:39:06  2022-06-07 06:39:16  DONE  "", ""OUTPUT  2022-06-07 06:39:16  2022-06-07 06:39:16  DONE  "", ""ENSEMBLE  2022-06-07 06:39:16  2022-06-07 06:39:17  DONE  "", ""FINISHED  2022-06-07 06:39:17  2022-06-07 06:39:17  DONE  ""))","FINISHED  2022-06-07 06:39:17  2022-06-07 06:39:17  DONE  ","TRUE","SIPNET","Sky Oaks- Old Stand (US-SO2)","CRUNCEP"
"8","1000000095","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Open Shrublands, Sevilleta Shrubland (US-Ses)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000012776"", status = ""Submitted successfully"")","99000012776","list(workflow_id = ""99000012776"", status = c(""TRAIT  2022-06-07 06:39:22  2022-06-07 06:39:23  DONE  "", ""META  2022-06-07 06:39:23  2022-06-07 06:39:23  DONE  "", ""CONFIG  2022-06-07 06:39:23  2022-06-07 06:39:24  DONE  "", ""MODEL  2022-06-07 06:39:24  2022-06-07 06:39:34  DONE  "", ""OUTPUT  2022-06-07 06:39:34  2022-06-07 06:39:34  DONE  "", ""ENSEMBLE  2022-06-07 06:39:34  2022-06-07 06:39:34  DONE  "", ""FINISHED  2022-06-07 06:39:34  2022-06-07 06:39:34  DONE  ""))","FINISHED  2022-06-07 06:39:34  2022-06-07 06:39:34  DONE  ","TRUE","SIPNET","Sevilleta (LTER desert shrubland) (US-Ses)","CRUNCEP"
"9","775","temperate.oakpinebarrens","2004-01-01","2004-12-31","FALSE","1","Woody Savanas, Tonzi Ranch","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000012777"", status = ""Submitted successfully"")","99000012777","list(workflow_id = ""99000012777"", status = c(""TRAIT  2022-06-07 06:39:38  2022-06-07 06:39:39  DONE  "", ""META  2022-06-07 06:39:39  2022-06-07 06:39:39  DONE  "", ""CONFIG  2022-06-07 06:39:39  2022-06-07 06:39:40  DONE  "", ""MODEL  2022-06-07 06:39:40  2022-06-07 06:39:50  DONE  "", ""OUTPUT  2022-06-07 06:39:50  2022-06-07 06:39:50  DONE  "", ""ENSEMBLE  2022-06-07 06:39:50  2022-06-07 06:39:51  DONE  "", ""FINISHED  2022-06-07 06:39:51  2022-06-07 06:39:51  DONE  ""))","FINISHED  2022-06-07 06:39:51  2022-06-07 06:39:51  DONE  ","TRUE","SIPNET","Tonzi Ranch (US-Ton)","CRUNCEP"
"10","1000005158","semiarid.grassland-kendall","2004-01-01","2004-12-31","FALSE","1","Grasslands, Walnut Gulch Kendall Grasslands (US-Wkg)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000012778"", status = ""Submitted successfully"")","99000012778","list(workflow_id = ""99000012778"", status = c(""TRAIT  2022-06-07 06:39:56  2022-06-07 06:39:57  DONE  "", ""META  2022-06-07 06:39:57  2022-06-07 06:39:57  DONE  "", ""CONFIG  2022-06-07 06:39:57  2022-06-07 06:39:58  DONE  "", ""MODEL  2022-06-07 06:39:58  2022-06-07 06:40:08  DONE  "", ""OUTPUT  2022-06-07 06:40:08  2022-06-07 06:40:08  DONE  "", ""ENSEMBLE  2022-06-07 06:40:08  2022-06-07 06:40:08  DONE  "", ""FINISHED  2022-06-07 06:40:08  2022-06-07 06:40:08  DONE  ""))","FINISHED  2022-06-07 06:40:08  2022-06-07 06:40:08  DONE  ","TRUE","SIPNET","Walnut Gulch Kendall Grasslands (US-Wkg)","CRUNCEP"
