"","site_id","pfts","start_date","end_date","sensitivity.analysis","ensemble_size","notes","model_id","inputs","workflow_list_mods","submit","workflow_id","status","stage","success_status","model_name","site_name","met"
"1","756","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Southern Pine (Subcategory), Duke Forest Pine ","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000136"", status = ""Submitted successfully"")","99000000136","list(workflow_id = ""99000000136"", status = c(""TRAIT  2021-10-13 06:51:55  2021-10-13 06:51:56  DONE  "", ""META  2021-10-13 06:51:56  2021-10-13 06:51:56  DONE  "", ""CONFIG  2021-10-13 06:51:56  2021-10-13 06:51:57  DONE  "", ""MODEL  2021-10-13 06:51:57  2021-10-13 06:52:07  DONE  "", ""OUTPUT  2021-10-13 06:52:07  2021-10-13 06:52:07  DONE  "", ""ENSEMBLE  2021-10-13 06:52:07  2021-10-13 06:52:07  DONE  "", ""FINISHED  2021-10-13 06:52:07  2021-10-13 06:52:07  DONE  ""))","FINISHED  2021-10-13 06:52:07  2021-10-13 06:52:07  DONE  ","TRUE","SIPNET","Duke Forest - loblolly pine (US-Dk3)","CRUNCEP"
"2","506","boreal.coniferous","2004-01-01","2004-12-31","FALSE","1","Boreal Pine (Subcategory), BOREAS NSA - (CA-Man)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000137"", status = ""Submitted successfully"")","99000000137","list(workflow_id = ""99000000137"", status = c(""TRAIT  2021-10-13 06:52:11  2021-10-13 06:52:12  DONE  "", ""META  2021-10-13 06:52:12  2021-10-13 06:52:12  DONE  "", ""CONFIG  2021-10-13 06:52:12  2021-10-13 06:52:13  DONE  "", ""MODEL  2021-10-13 06:52:13  2021-10-13 06:52:23  DONE  "", ""OUTPUT  2021-10-13 06:52:23  2021-10-13 06:52:23  DONE  "", ""ENSEMBLE  2021-10-13 06:52:23  2021-10-13 06:52:23  DONE  "", ""FINISHED  2021-10-13 06:52:23  2021-10-13 06:52:23  DONE  ""))","FINISHED  2021-10-13 06:52:23  2021-10-13 06:52:23  DONE  ","TRUE","SIPNET","BOREAS NSA - (CA-Man)","CRUNCEP"
"3","772","temperate.coniferous","2004-01-01","2004-12-31","FALSE","1","Intermountain (Subcategory), Niwot Ridge Forest/LTER NWT1 (US-NR1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000138"", status = ""Submitted successfully"")","99000000138","list(workflow_id = ""99000000138"", status = c(""TRAIT  2021-10-13 06:52:27  2021-10-13 06:52:28  DONE  "", ""META  2021-10-13 06:52:28  2021-10-13 06:52:28  DONE  "", ""CONFIG  2021-10-13 06:52:28  2021-10-13 06:52:29  DONE  "", ""MODEL  2021-10-13 06:52:29  2021-10-13 06:52:39  DONE  "", ""OUTPUT  2021-10-13 06:52:39  2021-10-13 06:52:39  DONE  "", ""ENSEMBLE  2021-10-13 06:52:39  2021-10-13 06:52:39  DONE  "", ""FINISHED  2021-10-13 06:52:39  2021-10-13 06:52:39  DONE  ""))","FINISHED  2021-10-13 06:52:39  2021-10-13 06:52:39  DONE  ","TRUE","SIPNET","Niwot Ridge Forest/LTER NWT1 (US-NR1)","CRUNCEP"
"4","1000005005","tropics_BCI","2004-01-01","2004-12-31","FALSE","1","Evergreen broadleaf forest, Barro Colorado Island","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000139"", status = ""Submitted successfully"")","99000000139","list(workflow_id = ""99000000139"", status = c(""TRAIT  2021-10-13 06:52:44  2021-10-13 06:52:45  DONE  "", ""META  2021-10-13 06:52:45  2021-10-13 06:52:45  DONE  "", ""CONFIG  2021-10-13 06:52:45  2021-10-13 06:52:46  DONE  "", ""MODEL  2021-10-13 06:52:46  2021-10-13 06:52:56  DONE  "", ""OUTPUT  2021-10-13 06:52:56  2021-10-13 06:52:56  DONE  "", ""ENSEMBLE  2021-10-13 06:52:56  2021-10-13 06:52:56  DONE  "", ""FINISHED  2021-10-13 06:52:56  2021-10-13 06:52:56  DONE  ""))","FINISHED  2021-10-13 06:52:56  2021-10-13 06:52:56  DONE  ","TRUE","SIPNET","Barro Colorado Island","CRUNCEP"
"5","1000000370","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous needleleaf forest ,  Yakutsk-Larch RU-Ylr","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000140"", status = ""Submitted successfully"")","99000000140","list(workflow_id = ""99000000140"", status = c(""TRAIT  2021-10-13 06:53:01  2021-10-13 06:53:02  DONE  "", ""META  2021-10-13 06:53:02  2021-10-13 06:53:02  DONE  "", ""CONFIG  2021-10-13 06:53:02  2021-10-13 06:53:02  DONE  "", ""MODEL  2021-10-13 06:53:02  2021-10-13 06:53:13  DONE  "", ""OUTPUT  2021-10-13 06:53:13  2021-10-13 06:53:13  DONE  "", ""ENSEMBLE  2021-10-13 06:53:13  2021-10-13 06:53:13  DONE  "", ""FINISHED  2021-10-13 06:53:13  2021-10-13 06:53:13  DONE  ""))","FINISHED  2021-10-13 06:53:13  2021-10-13 06:53:13  DONE  ","TRUE","SIPNET","Yakutsk-Larch (RU-Ylr)","CRUNCEP"
"6","758","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Deciduous broadleaf forest , Harvard Forest EMS Tower/HFR1 (US-Ha1)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000141"", status = ""Submitted successfully"")","99000000141","list(workflow_id = ""99000000141"", status = c(""TRAIT  2021-10-13 06:53:18  2021-10-13 06:53:19  DONE  "", ""META  2021-10-13 06:53:19  2021-10-13 06:53:19  DONE  "", ""CONFIG  2021-10-13 06:53:19  2021-10-13 06:53:19  DONE  "", ""MODEL  2021-10-13 06:53:19  2021-10-13 06:53:30  DONE  "", ""OUTPUT  2021-10-13 06:53:30  2021-10-13 06:53:30  DONE  "", ""ENSEMBLE  2021-10-13 06:53:30  2021-10-13 06:53:30  DONE  "", ""FINISHED  2021-10-13 06:53:30  2021-10-13 06:53:30  DONE  ""))","FINISHED  2021-10-13 06:53:30  2021-10-13 06:53:30  DONE  ","TRUE","SIPNET","Harvard Forest EMS Tower/HFR1 (US-Ha1)","CRUNCEP"
"7","774","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Closed Shrublands, Sky Oaks- Old Stand (US-SO2)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000142"", status = ""Submitted successfully"")","99000000142","list(workflow_id = ""99000000142"", status = c(""TRAIT  2021-10-13 06:53:35  2021-10-13 06:53:35  DONE  "", ""META  2021-10-13 06:53:35  2021-10-13 06:53:35  DONE  "", ""CONFIG  2021-10-13 06:53:35  2021-10-13 06:53:36  DONE  "", ""MODEL  2021-10-13 06:53:36  2021-10-13 06:53:46  DONE  "", ""OUTPUT  2021-10-13 06:53:46  2021-10-13 06:53:46  DONE  "", ""ENSEMBLE  2021-10-13 06:53:46  2021-10-13 06:53:47  DONE  "", ""FINISHED  2021-10-13 06:53:47  2021-10-13 06:53:47  DONE  ""))","FINISHED  2021-10-13 06:53:47  2021-10-13 06:53:47  DONE  ","TRUE","SIPNET","Sky Oaks- Old Stand (US-SO2)","CRUNCEP"
"8","1000000095","temperate.deciduous","2004-01-01","2004-12-31","FALSE","1","Open Shrublands, Sevilleta Shrubland (US-Ses)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000143"", status = ""Submitted successfully"")","99000000143","list(workflow_id = ""99000000143"", status = c(""TRAIT  2021-10-13 06:53:51  2021-10-13 06:53:52  DONE  "", ""META  2021-10-13 06:53:52  2021-10-13 06:53:52  DONE  "", ""CONFIG  2021-10-13 06:53:52  2021-10-13 06:53:53  DONE  "", ""MODEL  2021-10-13 06:53:53  2021-10-13 06:54:03  DONE  "", ""OUTPUT  2021-10-13 06:54:03  2021-10-13 06:54:03  DONE  "", ""ENSEMBLE  2021-10-13 06:54:03  2021-10-13 06:54:03  DONE  "", ""FINISHED  2021-10-13 06:54:03  2021-10-13 06:54:04  DONE  ""))","FINISHED  2021-10-13 06:54:03  2021-10-13 06:54:04  DONE  ","TRUE","SIPNET","Sevilleta (LTER desert shrubland) (US-Ses)","CRUNCEP"
"9","775","temperate.oakpinebarrens","2004-01-01","2004-12-31","FALSE","1","Woody Savanas, Tonzi Ranch","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000144"", status = ""Submitted successfully"")","99000000144","list(workflow_id = ""99000000144"", status = c(""TRAIT  2021-10-13 06:54:07  2021-10-13 06:54:08  DONE  "", ""META  2021-10-13 06:54:08  2021-10-13 06:54:08  DONE  "", ""CONFIG  2021-10-13 06:54:08  2021-10-13 06:54:09  DONE  "", ""MODEL  2021-10-13 06:54:09  2021-10-13 06:54:19  DONE  "", ""OUTPUT  2021-10-13 06:54:19  2021-10-13 06:54:19  DONE  "", ""ENSEMBLE  2021-10-13 06:54:19  2021-10-13 06:54:19  DONE  "", ""FINISHED  2021-10-13 06:54:19  2021-10-13 06:54:19  DONE  ""))","FINISHED  2021-10-13 06:54:19  2021-10-13 06:54:19  DONE  ","TRUE","SIPNET","Tonzi Ranch (US-Ton)","CRUNCEP"
"10","1000005158","semiarid.grassland-kendall","2004-01-01","2004-12-31","FALSE","1","Grasslands, Walnut Gulch Kendall Grasslands (US-Wkg)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000145"", status = ""Submitted successfully"")","99000000145","list(workflow_id = ""99000000145"", status = c(""TRAIT  2021-10-13 06:54:24  2021-10-13 06:54:25  DONE  "", ""META  2021-10-13 06:54:25  2021-10-13 06:54:25  DONE  "", ""CONFIG  2021-10-13 06:54:25  2021-10-13 06:54:25  DONE  "", ""MODEL  2021-10-13 06:54:25  2021-10-13 06:54:36  DONE  "", ""OUTPUT  2021-10-13 06:54:36  2021-10-13 06:54:36  DONE  "", ""ENSEMBLE  2021-10-13 06:54:36  2021-10-13 06:54:36  DONE  "", ""FINISHED  2021-10-13 06:54:36  2021-10-13 06:54:36  DONE  ""))","FINISHED  2021-10-13 06:54:36  2021-10-13 06:54:36  DONE  ","TRUE","SIPNET","Walnut Gulch Kendall Grasslands (US-Wkg)","CRUNCEP"
"11","679","temperate.wetland","2004-01-01","2004-12-31","FALSE","1","Permanent wetlands, Lost Creek (US-Los)","1000000014","list(met = list(source = ""CRUNCEP""))","list()","list(workflow_id = ""99000000146"", status = ""Submitted successfully"")","99000000146","list(workflow_id = ""99000000146"", status = c(""TRAIT  2021-10-13 06:54:40  2021-10-13 06:54:41  DONE  "", ""META  2021-10-13 06:54:41  2021-10-13 06:54:41  DONE  "", ""CONFIG  2021-10-13 06:54:41  2021-10-13 06:54:42  DONE  "", ""MODEL  2021-10-13 06:54:42  2021-10-13 06:54:52  DONE  "", ""OUTPUT  2021-10-13 06:54:52  2021-10-13 06:54:52  DONE  "", ""ENSEMBLE  2021-10-13 06:54:52  2021-10-13 06:54:52  DONE  "", ""FINISHED  2021-10-13 06:54:52  2021-10-13 06:54:52  DONE  ""))","FINISHED  2021-10-13 06:54:52  2021-10-13 06:54:52  DONE  ","TRUE","SIPNET","Lost Creek LCR (US-Los)","CRUNCEP"
